LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
4,27,1102.5,0,0,7/7/2014 0:00
4,33,1833.33,0,0,1/1/1900 0:00
4,34,10112,0,0,7/7/2014 0:00
4,100,100,0,0,1/1/1900 0:00
7,27,984.37,0,0,7/7/2014 0:00
7,33,100,0,0,1/1/1900 0:00
7,34,8012,0,0,7/7/2014 0:00
7,100,50,0,0,1/1/1900 0:00
28,27,630,0,0,7/7/2014 0:00
28,33,945.21,0,0,1/1/1900 0:00
28,34,3600,327.27,3600,7/7/2014 0:00
28,36,277,0,0,1/1/1900 0:00
28,49,105,0,0,1/1/1900 0:00
28,100,100,0,0,1/1/1900 0:00
29,27,545.62,0,0,7/7/2014 0:00
29,33,130,0,0,1/1/1900 0:00
29,34,4110,0,0,7/7/2014 0:00
29,35,50,0,0,1/1/1900 0:00
29,36,261.25,0,0,1/1/1900 0:00
29,49,50,0,0,1/1/1900 0:00
30,27,586.87,0,0,7/7/2014 0:00
30,33,445,0,0,1/1/1900 0:00
30,34,3129.96,0,0,7/7/2014 0:00
30,36,333.75,0,0,7/7/2014 0:00
32,27,675,0,0,7/7/2014 0:00
32,33,437.5,0,0,1/1/1900 0:00
32,34,4110,0,0,7/7/2014 0:00
32,35,40,0,0,1/1/1900 0:00
32,36,353.75,0,0,7/7/2014 0:00
32,100,50,0,0,1/1/1900 0:00
34,27,630,0,0,7/7/2014 0:00
37,27,928.12,0,0,7/7/2014 0:00
37,33,100,0,0,1/1/1900 0:00
37,34,8800,800,8800,7/7/2014 0:00
37,35,456.05,0,0,1/1/1900 0:00
37,36,351,0,0,1/1/1900 0:00
37,49,105,0,0,1/1/1900 0:00
37,100,100,0,0,1/1/1900 0:00
37,101,30,0,0,1/1/1900 0:00
38,27,984.37,0,0,7/7/2014 0:00
38,33,322.5,0,0,1/1/1900 0:00
38,34,5250,0,0,7/7/2014 0:00
38,36,1146.67,0,0,1/1/1900 0:00
39,27,1816.87,0,0,7/7/2014 0:00
39,36,341.25,0,0,1/1/1900 0:00
40,27,721.87,0,0,7/7/2014 0:00
40,33,937.5,0,0,1/1/1900 0:00
