TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate,TrnRef
2,4,1,5056,0,2,wenda,1,1/23/2018 0:00,
2,4,3,0,0,2,0,1390520,12/23/2023 0:00,
2,4,4,31,0,2,0,1386955,12/23/2023 0:00,
2,4,5,5056,0,2,0,1386956,12/23/2023 0:00,
2,4,8,350,0,2,wenda,1200671,9/23/2021 0:00,
2,4,11,0,0,2,0,1390521,12/23/2023 0:00,
2,4,13,0,0,2,0,1390522,12/23/2023 0:00,
2,4,15,0,0,2,0,1390523,12/23/2023 0:00,
2,4,17,0,0,2,0,1390524,12/23/2023 0:00,
2,4,21,708.7,0,2,0,9633,12/23/2023 0:00,
2,4,22,0,0,2,0,1390525,12/23/2023 0:00,
2,4,23,0,0,2,0,1390526,12/23/2023 0:00,
2,4,24,0,0,2,0,1390527,12/23/2023 0:00,
2,4,27,0,0,2,0,1390528,12/23/2023 0:00,
2,4,33,0,0,2,0,1390529,12/23/2023 0:00,
2,4,34,0,0,2,0,1390530,12/23/2023 0:00,
2,4,35,0,0,2,0,1390531,12/23/2023 0:00,
2,4,36,0,0,2,0,1390532,12/23/2023 0:00,
2,4,37,0,0,2,0,1390533,12/23/2023 0:00,
2,4,39,0,0,2,0,1390534,12/23/2023 0:00,
2,4,41,0,0,2,0,1390535,12/23/2023 0:00,
2,4,44,0,0,2,0,1390536,12/23/2023 0:00,
2,4,48,0,0,2,0,1390537,12/23/2023 0:00,
2,4,49,0,0,2,0,1390538,12/23/2023 0:00,
2,4,50,0,0,2,0,1390542,12/23/2023 0:00,
2,4,51,5056,0,2,0,1386981,12/23/2023 0:00,
2,4,52,5406,0,2,0,1386980,12/23/2023 0:00,
2,4,62,0,0,2,0,1390539,12/23/2023 0:00,
2,4,99,4697.3,0,2,0,1386978,12/23/2023 0:00,
2,4,100,0,0,2,0,1390540,12/23/2023 0:00,
2,4,101,0,0,2,0,1390541,12/23/2023 0:00,
2,7,1,4006,0,2,wenda,2,1/23/2018 0:00,
2,7,8,350,0,2,wenda,23199,9/24/2019 0:00,
2,7,21,498.7,0,2,0,9658,1/24/2020 0:00,
2,7,22,440.66,0,2,0,9659,1/24/2020 0:00,
2,7,23,280.42,0,2,0,9660,1/24/2020 0:00,
2,7,24,40.06,0,2,0,961585,1/24/2020 0:00,
2,28,1,1800,0,2,wenda,3,2/21/2020 0:00,
2,28,3,0,0,2,0,1390543,8/25/2023 0:00,
2,28,4,31,0,2,0,1386983,8/25/2023 0:00,
2,28,5,1800,0,2,0,1386984,8/25/2023 0:00,
2,28,10,72,0,0,wenda,1385155,8/23/2023 0:00,
2,28,11,934.64,0,2,0,1386985,8/25/2023 0:00,
2,28,12,48,0,0,wenda,1385156,8/23/2023 0:00,
2,28,13,726.93,0,2,0,1386986,8/25/2023 0:00,
2,28,14,60,0,0,wenda,1385157,8/23/2023 0:00,
2,28,15,1038.48,0,2,0,1386987,8/25/2023 0:00,
2,28,17,0,0,2,0,1390544,8/25/2023 0:00,
2,28,21,651.51,0,2,0,2143,8/25/2023 0:00,
2,28,22,0,0,2,0,1390545,8/25/2023 0:00,
2,28,23,0,0,2,0,1390546,8/25/2023 0:00,
2,28,24,18,0,2,0,1313145,8/25/2023 0:00,
2,28,27,0,0,2,0,1390547,8/25/2023 0:00,
2,28,28,360,0,2,wenda,674126,1/23/2018 0:00,
2,28,29,270,0,2,wenda,708506,2/22/2018 0:00,
2,28,33,0,0,2,0,1390548,8/25/2023 0:00,
2,28,34,327.27,0,2,0,1384704,8/25/2023 0:00,
2,28,35,0,0,2,0,1390549,8/25/2023 0:00,
2,28,36,0,0,2,0,1390550,8/25/2023 0:00,
