LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
101,27,0.00,0.00,0.00,2014-09-01 00:00:00
101,33,1700.00,0.00,0.00,1900-01-01 00:00:00
101,34,99000.00,0.00,0.00,2014-09-01 00:00:00
102,27,299.12,0.00,0.00,2014-09-01 00:00:00
103,27,0.00,0.00,0.00,2014-09-01 00:00:00
103,33,51090.00,0.00,0.00,1900-01-01 00:00:00
103,34,40218.00,0.00,0.00,2014-09-01 00:00:00
104,27,490.76,0.00,0.00,2014-09-01 00:00:00
104,34,14474.00,0.00,0.00,2014-09-01 00:00:00
105,27,3496.13,0.00,0.00,2014-09-01 00:00:00
105,33,36147.00,0.00,0.00,1900-01-01 00:00:00
105,34,2670.36,0.00,0.00,2014-09-01 00:00:00
106,27,247.92,0.00,0.00,2014-09-01 00:00:00
106,34,33675.00,2806.25,5612.50,2014-09-01 00:00:00
107,27,0.00,0.00,0.00,2014-09-01 00:00:00
107,34,212496.00,17708.00,53124.00,2014-09-01 00:00:00
109,27,125.32,0.00,0.00,2014-09-01 00:00:00
109,33,6105.00,0.00,0.00,1900-01-01 00:00:00
109,34,7335.00,0.00,0.00,2014-09-01 00:00:00
110,27,0.00,0.00,0.00,2014-09-01 00:00:00
110,34,20409.00,1700.75,3401.50,2014-09-01 00:00:00
111,27,83.32,0.00,0.00,2014-09-01 00:00:00
111,33,250.00,0.00,0.00,1900-01-01 00:00:00
111,34,20409.00,1700.75,3401.50,2014-09-01 00:00:00
112,33,2577.56,0.00,0.00,1900-01-01 00:00:00
112,34,137196.00,11433.00,22866.00,1900-01-01 00:00:00
115,27,0.00,0.00,0.00,2014-09-01 00:00:00
115,33,4215.00,0.00,0.00,1900-01-01 00:00:00
115,34,16200.00,1350.00,2700.00,2014-09-01 00:00:00
116,33,1349.02,0.00,0.00,1900-01-01 00:00:00
117,27,295.00,0.00,0.00,2014-09-01 00:00:00
117,34,5000.00,0.00,0.00,1900-01-01 00:00:00
118,27,3008.90,0.00,0.00,2014-09-01 00:00:00
118,34,195606.00,16300.50,32601.00,2014-09-01 00:00:00
119,27,0.00,0.00,0.00,2014-09-01 00:00:00
119,34,60000.00,5000.00,10000.00,2014-09-01 00:00:00
120,27,50.67,50.67,0.00,2014-09-01 00:00:00
120,33,3000.00,0.00,0.00,1900-01-01 00:00:00
120,34,1636.35,0.00,0.00,2014-09-01 00:00:00
121,27,302.56,0.00,0.00,2014-09-01 00:00:00
122,27,1571.36,0.00,0.00,2014-09-01 00:00:00
122,33,15287.54,0.00,0.00,1900-01-01 00:00:00
122,34,207447.00,0.00,0.00,1900-01-01 00:00:00
123,27,138.88,0.00,0.00,2014-09-01 00:00:00
123,34,500.01,0.00,0.00,2014-09-01 00:00:00
124,27,5313.68,0.00,0.00,2014-09-01 00:00:00
124,34,133200.00,11100.00,22200.00,2014-09-01 00:00:00
125,27,93.32,0.00,0.00,2014-09-01 00:00:00
125,33,1490.31,0.00,0.00,1900-01-01 00:00:00
125,34,24774.00,2064.50,4129.00,2014-09-01 00:00:00
126,27,78.56,0.00,0.00,2014-09-01 00:00:00
126,33,9750.00,0.00,0.00,1900-01-01 00:00:00
126,34,17496.00,1458.00,2916.00,2014-09-01 00:00:00
128,27,72.12,0.00,0.00,2014-09-01 00:00:00
128,33,4857.00,0.00,0.00,1900-01-01 00:00:00
128,34,18900.00,1575.00,3150.00,2014-09-01 00:00:00
129,27,50.00,0.00,0.00,2014-09-01 00:00:00
129,33,250.00,0.00,0.00,1900-01-01 00:00:00
129,34,250.00,0.00,0.00,2014-09-01 00:00:00
130,27,218.24,0.00,0.00,2014-09-01 00:00:00
130,33,300.00,0.00,0.00,1900-01-01 00:00:00
130,34,250.39,0.00,0.00,2014-09-01 00:00:00
132,27,148.00,0.00,0.00,2014-09-01 00:00:00
132,34,23151.00,1929.25,3858.50,1900-01-01 00:00:00
133,27,162.00,0.00,0.00,2014-09-01 00:00:00
133,33,208.02,0.00,0.00,1900-01-01 00:00:00
133,34,700.00,0.00,0.00,1900-01-01 00:00:00
134,27,70.00,0.00,0.00,2014-09-01 00:00:00
134,34,1350.00,0.00,0.00,1900-01-01 00:00:00
135,27,108.00,0.00,0.00,2014-09-01 00:00:00
135,33,2332.00,0.00,0.00,1900-01-01 00:00:00
135,34,3730.00,466.25,466.25,1900-01-01 00:00:00
136,27,166.68,0.00,0.00,2014-09-01 00:00:00
136,33,16.52,0.00,0.00,1900-01-01 00:00:00
137,27,122.24,0.00,0.00,2014-09-01 00:00:00
138,33,1000.00,0.00,0.00,1900-01-01 00:00:00
138,34,52074.00,4339.50,8679.00,1900-01-01 00:00:00
139,27,204.44,0.00,0.00,2014-09-01 00:00:00
139,33,600.00,0.00,0.00,1900-01-01 00:00:00
140,33,215.00,0.00,0.00,1900-01-01 00:00:00
140,34,96934.01,2091.34,36285.15,1900-01-01 00:00:00
141,27,166.68,0.00,0.00,2014-09-01 00:00:00
141,33,3065.74,0.00,0.00,1900-01-01 00:00:00
142,27,396.76,0.00,0.00,2014-09-01 00:00:00
143,33,1911.35,0.00,0.00,1900-01-01 00:00:00
143,34,7920.00,0.00,0.00,1900-01-01 00:00:00
144,27,71.52,0.00,0.00,2014-09-01 00:00:00
