TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate,TrnRef
4,101,1,38605.00,0,2,Ebspayadmin,79419,2019-05-27 00:00:00,
4,101,8,900.00,0,2,sysadmin,79545,2014-09-01 00:00:00,
4,101,21,16946.77,0,2,0,441114,2019-07-24 00:00:00,
4,101,36,2000.00,0,2,Ebspayadmin,79546,2019-05-27 00:00:00,
4,101,101,2500.00,0,2,Ebspayadmin,501071,2019-02-22 00:00:00,
4,101,103,5200.00,0,2,Ebspayadmin,501074,2019-02-22 00:00:00,
4,101,105,3700.00,0,2,Ebspayadmin,501073,2019-02-22 00:00:00,
4,101,110,2700.00,0,2,Ebspayadmin,501072,2019-02-22 00:00:00,
4,102,1,1250.00,0,2,sysadmin,79420,2014-07-07 00:00:00,
4,102,8,200.00,0,2,sysadmin,79558,2014-09-01 00:00:00,
4,103,1,17030.00,0,2,Ebspayadmin,79421,2016-01-25 00:00:00,
4,103,8,900.00,0,2,sysadmin,79578,2014-09-01 00:00:00,
4,104,1,14474.00,0,2,Ebspayadmin,79422,2018-01-23 00:00:00,
4,104,8,400.00,0,2,sysadmin,79565,2014-09-01 00:00:00,
4,104,21,3565.92,0,2,0,441139,2019-04-23 00:00:00,
4,105,1,12049.00,0,2,Ebspayadmin,79423,2018-01-23 00:00:00,
4,105,8,400.00,0,2,sysadmin,79564,2014-09-01 00:00:00,
4,105,21,2717.17,0,2,0,441163,2018-12-21 00:00:00,
4,106,1,11225.00,0,2,alan,79424,2022-11-22 00:00:00,
4,106,3,0.00,0,2,0,774050,2023-10-23 00:00:00,
4,106,4,31.00,0,2,0,774051,2023-10-23 00:00:00,
4,106,5,11225.00,0,2,0,774052,2023-10-23 00:00:00,
4,106,8,1200.00,0,2,alan,79574,2022-11-22 00:00:00,
4,106,11,0.00,0,2,0,774053,2023-10-23 00:00:00,
4,106,13,0.00,0,2,0,774054,2023-10-23 00:00:00,
4,106,15,0.00,0,2,0,774055,2023-10-23 00:00:00,
4,106,17,0.00,0,2,0,774056,2023-10-23 00:00:00,
4,106,21,2428.77,0,2,0,441187,2023-10-23 00:00:00,
4,106,22,0.00,0,2,0,774057,2023-10-23 00:00:00,
4,106,23,0.00,0,2,0,774058,2023-10-23 00:00:00,
4,106,24,0.00,0,2,0,774059,2023-10-23 00:00:00,
4,106,25,0.00,0,2,0,774060,2023-10-23 00:00:00,
4,106,27,0.00,0,2,0,774061,2023-10-23 00:00:00,
4,106,29,0.00,0,2,0,774062,2023-10-23 00:00:00,
4,106,33,0.00,0,2,0,774063,2023-10-23 00:00:00,
4,106,34,2806.25,0,2,0,720165,2023-10-23 00:00:00,
4,106,35,0.00,0,2,0,774064,2023-10-23 00:00:00,
4,106,36,800.00,0,2,alan,79575,2023-05-22 00:00:00,
4,106,37,0.00,0,2,0,774065,2023-10-23 00:00:00,
4,106,39,0.00,0,2,0,774066,2023-10-23 00:00:00,
4,106,41,0.00,0,2,0,774067,2023-10-23 00:00:00,
4,106,44,0.00,0,2,0,774068,2023-10-23 00:00:00,
4,106,48,0.00,0,2,0,774069,2023-10-23 00:00:00,
4,106,50,0.00,0,2,0,774072,2023-10-23 00:00:00,
4,106,51,11225.00,0,2,0,774074,2023-10-23 00:00:00,
4,106,52,12425.00,0,2,0,774073,2023-10-23 00:00:00,
4,106,62,0.00,0,2,0,774070,2023-10-23 00:00:00,
4,106,99,6389.98,0,2,0,774071,2023-10-23 00:00:00,
4,107,1,70832.00,0,2,alan,79425,2022-11-22 00:00:00,
4,107,3,0.00,0,2,0,774075,2023-10-23 00:00:00,
4,107,4,31.00,0,2,0,774076,2023-10-23 00:00:00,
4,107,5,70832.00,0,2,0,774077,2023-10-23 00:00:00,
4,107,11,0.00,0,2,0,774078,2023-10-23 00:00:00,
4,107,13,0.00,0,2,0,774079,2023-10-23 00:00:00,
4,107,15,0.00,0,2,0,774080,2023-10-23 00:00:00,
4,107,17,0.00,0,2,0,774081,2023-10-23 00:00:00,
4,107,21,28768.72,0,2,0,441212,2023-10-23 00:00:00,
4,107,22,0.00,0,2,0,774082,2023-10-23 00:00:00,
4,107,23,0.00,0,2,0,774083,2023-10-23 00:00:00,
4,107,24,0.00,0,2,0,774084,2023-10-23 00:00:00,
4,107,25,0.00,0,2,0,774085,2023-10-23 00:00:00,
4,107,27,0.00,0,2,0,774086,2023-10-23 00:00:00,
4,107,29,0.00,0,2,0,774087,2023-10-23 00:00:00,
4,107,33,0.00,0,2,0,774088,2023-10-23 00:00:00,
4,107,34,17708.00,0,2,0,732199,2023-10-23 00:00:00,
4,107,35,0.00,0,2,0,774089,2023-10-23 00:00:00,
4,107,36,6000.00,0,2,alan,467999,2023-05-22 00:00:00,
4,107,37,0.00,0,2,0,774090,2023-10-23 00:00:00,
4,107,39,0.00,0,2,0,774091,2023-10-23 00:00:00,
4,107,41,0.00,0,2,0,774092,2023-10-23 00:00:00,
4,107,44,0.00,0,2,0,774093,2023-10-23 00:00:00,
4,107,48,0.00,0,2,0,774094,2023-10-23 00:00:00,
4,107,50,0.00,0,2,0,774097,2023-10-23 00:00:00,
4,107,51,86482.00,0,2,0,774099,2023-10-23 00:00:00,
4,107,52,86482.00,0,2,0,774098,2023-10-23 00:00:00,
4,107,62,0.00,0,2,0,774095,2023-10-23 00:00:00,
4,107,99,34005.28,0,2,0,774096,2023-10-23 00:00:00,
4,107,101,4800.00,0,2,alan,567124,2023-01-27 00:00:00,
4,107,103,5850.00,0,2,alan,567126,2019-11-21 00:00:00,
4,107,105,5000.00,0,2,alan,567127,2023-01-27 00:00:00,
4,109,1,2445.00,0,2,Ebspayadmin,79426,2017-01-23 00:00:00,
4,109,8,230.00,0,2,sysadmin,79566,2014-09-01 00:00:00,
4,110,1,6803.00,0,2,alan,79427,2022-11-22 00:00:00,
4,110,3,0.00,0,2,0,774100,2023-10-23 00:00:00,
4,110,4,31.00,0,2,0,774101,2023-10-23 00:00:00,
4,110,5,6803.00,0,2,0,774102,2023-10-23 00:00:00,
4,110,8,750.00,0,2,alan,79571,2022-11-22 00:00:00,
4,110,11,0.00,0,2,0,774103,2023-10-23 00:00:00,
4,110,13,0.00,0,2,0,774104,2023-10-23 00:00:00,
4,110,15,0.00,0,2,0,774105,2023-10-23 00:00:00,
4,110,17,0.00,0,2,0,774106,2023-10-23 00:00:00,
4,110,21,1135.76,0,2,0,441237,2023-10-23 00:00:00,
4,110,22,748.33,0,2,0,441238,2023-10-23 00:00:00,
4,110,23,476.21,0,2,0,441239,2023-10-23 00:00:00,
4,110,24,0.00,0,2,0,774107,2023-10-23 00:00:00,
4,110,25,0.00,0,2,0,774108,2023-10-23 00:00:00,
4,110,27,0.00,0,2,0,774109,2023-10-23 00:00:00,
4,110,29,0.00,0,2,0,774110,2023-10-23 00:00:00,
4,110,33,0.00,0,2,0,774111,2023-10-23 00:00:00,
4,110,34,1700.75,0,2,0,676540,2023-10-23 00:00:00,
