TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate,TrnRef
4,101,1,38605,0,2,Ebspayadmin,79419,5/27/2019,
4,101,8,900,0,2,sysadmin,79545,9/1/2014,
4,101,21,16946.77,0,2,0,441114,7/24/2019,
4,101,36,2000,0,2,Ebspayadmin,79546,5/27/2019,
4,101,101,2500,0,2,Ebspayadmin,501071,2/22/2019,
4,101,103,5200,0,2,Ebspayadmin,501074,2/22/2019,
4,101,105,3700,0,2,Ebspayadmin,501073,2/22/2019,
4,101,110,2700,0,2,Ebspayadmin,501072,2/22/2019,
4,102,1,1250,0,2,sysadmin,79420,7/7/2014,
4,102,8,200,0,2,sysadmin,79558,9/1/2014,
4,103,1,17030,0,2,Ebspayadmin,79421,1/25/2016,
4,103,8,900,0,2,sysadmin,79578,9/1/2014,
4,104,1,14474,0,2,Ebspayadmin,79422,1/23/2018,
4,104,8,400,0,2,sysadmin,79565,9/1/2014,
4,104,21,3565.92,0,2,0,441139,4/23/2019,
4,105,1,12049,0,2,Ebspayadmin,79423,1/23/2018,
4,105,8,400,0,2,sysadmin,79564,9/1/2014,
4,105,21,2717.17,0,2,0,441163,12/21/2018,
4,106,1,11225,0,2,alan,79424,11/22/2022,
4,106,3,0,0,2,0,774050,10/23/2023,
4,106,4,31,0,2,0,774051,10/23/2023,
4,106,5,11225,0,2,0,774052,10/23/2023,
4,106,8,1200,0,2,alan,79574,11/22/2022,
4,106,11,0,0,2,0,774053,10/23/2023,
4,106,13,0,0,2,0,774054,10/23/2023,
4,106,15,0,0,2,0,774055,10/23/2023,
4,106,17,0,0,2,0,774056,10/23/2023,
4,106,21,2428.77,0,2,0,441187,10/23/2023,
4,106,22,0,0,2,0,774057,10/23/2023,
4,106,23,0,0,2,0,774058,10/23/2023,
4,106,24,0,0,2,0,774059,10/23/2023,
4,106,25,0,0,2,0,774060,10/23/2023,
4,106,27,0,0,2,0,774061,10/23/2023,
4,106,29,0,0,2,0,774062,10/23/2023,
4,106,33,0,0,2,0,774063,10/23/2023,
4,106,34,2806.25,0,2,0,720165,10/23/2023,
4,106,35,0,0,2,0,774064,10/23/2023,
4,106,36,800,0,2,alan,79575,5/22/2023,
4,106,37,0,0,2,0,774065,10/23/2023,
4,106,39,0,0,2,0,774066,10/23/2023,
4,106,41,0,0,2,0,774067,10/23/2023,
4,106,44,0,0,2,0,774068,10/23/2023,
4,106,48,0,0,2,0,774069,10/23/2023,
4,106,50,0,0,2,0,774072,10/23/2023,
4,106,51,11225,0,2,0,774074,10/23/2023,
4,106,52,12425,0,2,0,774073,10/23/2023,
4,106,62,0,0,2,0,774070,10/23/2023,
4,106,99,6389.98,0,2,0,774071,10/23/2023,
4,107,1,70832,0,2,alan,79425,11/22/2022,
4,107,3,0,0,2,0,774075,10/23/2023,
4,107,4,31,0,2,0,774076,10/23/2023,
4,107,5,70832,0,2,0,774077,10/23/2023,
4,107,11,0,0,2,0,774078,10/23/2023,
4,107,13,0,0,2,0,774079,10/23/2023,
4,107,15,0,0,2,0,774080,10/23/2023,
4,107,17,0,0,2,0,774081,10/23/2023,
4,107,21,28768.72,0,2,0,441212,10/23/2023,
4,107,22,0,0,2,0,774082,10/23/2023,
