LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
109,33,10166.55,500,9666.55,1/1/1900 0:00
110,33,10000,500,7500,1/1/1900 0:00
124,33,5000,300,2300,1/1/1900 0:00
127,33,10000,500,3500,1/1/1900 0:00
133,33,15000,1000,5000,1/1/1900 0:00
136,33,9400,600,5200,1/1/1900 0:00
137,33,9158,417,1652,1/1/1900 0:00
138,33,8189,417,2768,1/1/1900 0:00
139,33,12600,370,7050,1/1/1900 0:00
143,33,5000,200,3400,1/1/1900 0:00
147,33,7000,500,2500,1/1/1900 0:00
148,33,8000,500,7500,1/1/1900 0:00
149,33,10500,500,10000,1/1/1900 0:00
153,33,12500,500,10000,1/1/1900 0:00
160,33,6200,400,4200,1/1/1900 0:00
163,33,14000,500,11500,1/1/1900 0:00
165,33,20000,1100,10100,1/1/1900 0:00
169,33,8000,500,7500,1/1/1900 0:00
172,33,1149,167,648,1/1/1900 0:00
181,33,2000,167,497,1/1/1900 0:00
187,33,8700,300,8700,1/1/1900 0:00
197,33,9000,500,8500,1/1/1900 0:00
208,33,44680,1320,44680,1/1/1900 0:00
210,33,7500,625,4375,1/1/1900 0:00
216,33,3000,500,1500,1/1/1900 0:00
218,33,5000,350,800,1/1/1900 0:00
228,33,10000,500,9500,1/1/1900 0:00
234,33,6500,1000,6500,1/1/1900 0:00
239,33,3800,300,1100,1/1/1900 0:00
242,33,20000,1000,17000,1/1/1900 0:00
246,33,10000,500,10000,1/1/1900 0:00
