TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate,TrnRef
2,101,1,33000,0,2,zemy,76823,08-11-2017 00:00,
2,101,3,0,0,2,0,956945,15-09-2023 00:00,
2,101,4,30,0,2,0,938418,15-09-2023 00:00,
2,101,5,33000,0,2,0,938419,15-09-2023 00:00,
2,101,8,2200,0,2,zemy,76824,08-11-2017 00:00,
2,101,9,6800,0,0,zemy,117,15-09-2023 00:00,OT Card
2,101,11,0,0,2,0,956946,15-09-2023 00:00,
2,101,13,0,0,2,0,956947,15-09-2023 00:00,
2,101,15,0,0,2,0,956948,15-09-2023 00:00,
2,101,17,0,0,2,0,956949,15-09-2023 00:00,
2,101,18,3000,0,2,zemy,116,19-07-2017 00:00,
2,101,21,12430.02,0,2,0,61249,15-09-2023 00:00,
2,101,22,3630,0,2,0,797641,15-09-2023 00:00,
2,101,23,2310,0,2,0,797642,15-09-2023 00:00,
2,101,24,0,0,2,0,956950,15-09-2023 00:00,
2,101,25,0,0,2,0,956951,15-09-2023 00:00,
2,101,27,0,0,2,0,956952,15-09-2023 00:00,
2,101,33,0,0,2,0,956953,15-09-2023 00:00,
2,101,34,0,0,2,0,956954,15-09-2023 00:00,
2,101,35,0,0,2,0,956955,15-09-2023 00:00,
2,101,37,0,0,2,0,956956,15-09-2023 00:00,
2,101,39,0,0,2,0,956957,15-09-2023 00:00,
2,101,41,0,0,2,0,956958,15-09-2023 00:00,
2,101,44,0,0,2,0,956959,15-09-2023 00:00,
2,101,48,0,0,2,0,956960,15-09-2023 00:00,
2,101,50,0,0,2,0,956962,15-09-2023 00:00,
2,101,51,39800,0,2,0,938439,15-09-2023 00:00,
2,101,52,45000,0,2,0,938438,15-09-2023 00:00,
2,101,62,0,0,2,0,956961,15-09-2023 00:00,
2,101,99,30259.98,0,2,0,938436,15-09-2023 00:00,
2,102,1,32300,0,2,zemy,2,09-10-2017 00:00,
2,102,3,0,0,2,0,956963,15-09-2023 00:00,
2,102,4,30,0,2,0,938441,15-09-2023 00:00,
