TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate
12,101,1,33000,0,0,sysadmin,1,01-01-2015 00:00
12,101,4,30,0,0,sysadmin,1,01-01-2015 00:00
12,101,8,2200,0,0,zemy,115,19-07-2017 00:00
12,101,9,6800,0,0,zemy,117,03-08-2017 00:00
12,101,18,3000,0,0,zemy,116,19-07-2017 00:00
12,102,1,30000,0,0,sysadmin,2,01-01-2015 00:00
12,102,8,2200,0,0,zemy,1707,19-07-2017 00:00
12,102,9,4800,0,0,zemy,1709,03-08-2017 00:00
12,102,18,3000,0,0,zemy,1708,19-07-2017 00:00
12,103,1,8000,0,0,sysadmin,3,01-01-2015 00:00
12,103,8,2000,0,0,zemy,1710,19-07-2017 00:00
12,104,1,6500,0,0,sysadmin,4,01-01-2015 00:00
12,104,8,1500,0,0,zemy,1711,19-07-2017 00:00
12,104,18,500,0,0,zemy,1712,19-07-2017 00:00
12,105,1,3200,0,0,sysadmin,5,01-01-2015 00:00
12,105,8,800,0,0,zemy,1713,19-07-2017 00:00
12,106,1,1800,0,0,sysadmin,6,01-01-2015 00:00
12,106,8,400,0,0,zemy,1714,19-07-2017 00:00
12,106,4,30,0,0,sysadmin,1,01-01-2015 00:00
12,107,1,4380,0,0,sysadmin,7,01-01-2015 00:00
12,107,8,1000,0,0,zemy,1715,19-07-2017 00:00
12,108,1,4000,0,0,sysadmin,8,01-01-2015 00:00
12,108,8,1000,0,0,zemy,61,19-07-2017 00:00
12,109,1,2200,0,0,sysadmin,9,01-01-2015 00:00
12,109,8,550,0,0,zemy,1716,19-07-2017 00:00
12,109,12,4,0,0,zemy,2923,19-07-2017 00:00
12,109,14,3.6,0,0,zemy,2922,19-07-2017 00:00
12,109,32,13.75,0,0,zemy,2924,19-07-2017 00:00
12,109,46,350,0,0,zemy,2920,19-07-2017 00:00
12,110,1,2000,0,0,sysadmin,10,01-01-2015 00:00
12,110,8,500,0,0,zemy,1717,19-07-2017 00:00
12,111,1,6000,0,0,sysadmin,11,01-01-2015 00:00
12,111,8,1500,0,0,zemy,1718,19-07-2017 00:00
12,111,18,500,0,0,zemy,1719,19-07-2017 00:00
12,112,1,3500,0,0,sysadmin,12,01-01-2015 00:00
12,112,8,800,0,0,zemy,1720,19-07-2017 00:00
12,113,1,1000,0,0,sysadmin,13,01-01-2015 00:00
12,113,8,200,0,0,zemy,1721,19-07-2017 00:00
12,114,1,1800,0,0,sysadmin,14,01-01-2015 00:00
12,114,8,450,0,0,zemy,1722,19-07-2017 00:00
12,115,1,8100,0,0,sysadmin,15,01-01-2015 00:00
12,115,8,2000,0,0,zemy,1723,19-07-2017 00:00
12,116,1,2800,0,0,sysadmin,16,01-01-2015 00:00
12,116,8,700,0,0,zemy,1724,19-07-2017 00:00
12,117,1,4380,0,0,sysadmin,17,01-01-2015 00:00
12,117,8,1000,0,0,zemy,1725,19-07-2017 00:00
12,118,1,6000,0,0,sysadmin,18,01-01-2015 00:00
12,118,8,1500,0,0,zemy,1726,19-07-2017 00:00
12,118,18,500,0,0,zemy,1727,19-07-2017 00:00
12,119,1,2800,0,0,sysadmin,19,01-01-2015 00:00
12,119,8,700,0,0,zemy,88,19-07-2017 00:00
12,120,1,3000,0,0,sysadmin,20,01-01-2015 00:00
12,120,8,700,0,0,zemy,3999,19-07-2017 00:00
12,120,12,3.5,0,0,zemy,144,19-07-2017 00:00
12,121,1,4500,0,0,sysadmin,21,01-01-2015 00:00
12,121,8,1000,0,0,zemy,4000,19-07-2017 00:00
12,121,10,2,0,0,zemy,4001,19-07-2017 00:00
12,121,12,7,0,0,zemy,4002,19-07-2017 00:00
12,121,14,4,0,0,zemy,4003,19-07-2017 00:00
12,121,46,500,0,0,zemy,4004,19-07-2017 00:00
12,122,1,2500,0,0,sysadmin,22,01-01-2015 00:00
