TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate,TrnRef
2,101,1,33000,0,2,zemy,76823,11/8/2017 0:00,
2,101,3,0,0,2,0,956945,9/15/2023 0:00,
2,101,4,30,0,2,0,938418,9/15/2023 0:00,
2,101,5,33000,0,2,0,938419,9/15/2023 0:00,
2,101,8,2200,0,2,zemy,76824,11/8/2017 0:00,
2,101,9,6800,0,0,zemy,117,9/15/2023 0:00,OT Card
2,101,11,0,0,2,0,956946,9/15/2023 0:00,
2,101,13,0,0,2,0,956947,9/15/2023 0:00,
2,101,15,0,0,2,0,956948,9/15/2023 0:00,
2,101,17,0,0,2,0,956949,9/15/2023 0:00,
2,101,18,3000,0,2,zemy,116,7/19/2017 0:00,
2,101,21,12430.02,0,2,0,61249,9/15/2023 0:00,
2,101,22,3630,0,2,0,797641,9/15/2023 0:00,
2,101,23,2310,0,2,0,797642,9/15/2023 0:00,
2,101,24,0,0,2,0,956950,9/15/2023 0:00,
2,101,25,0,0,2,0,956951,9/15/2023 0:00,
2,101,27,0,0,2,0,956952,9/15/2023 0:00,
2,101,33,0,0,2,0,956953,9/15/2023 0:00,
2,101,34,0,0,2,0,956954,9/15/2023 0:00,
2,101,35,0,0,2,0,956955,9/15/2023 0:00,
2,101,37,0,0,2,0,956956,9/15/2023 0:00,
2,101,39,0,0,2,0,956957,9/15/2023 0:00,
2,101,41,0,0,2,0,956958,9/15/2023 0:00,
2,101,44,0,0,2,0,956959,9/15/2023 0:00,
2,101,48,0,0,2,0,956960,9/15/2023 0:00,
2,101,50,0,0,2,0,956962,9/15/2023 0:00,
2,101,51,39800,0,2,0,938439,9/15/2023 0:00,
2,101,52,45000,0,2,0,938438,9/15/2023 0:00,
2,101,62,0,0,2,0,956961,9/15/2023 0:00,
2,101,99,30259.98,0,2,0,938436,9/15/2023 0:00,
2,102,1,32300,0,2,zemy,2,10/9/2017 0:00,
2,102,3,0,0,2,0,956963,9/15/2023 0:00,
2,102,4,30,0,2,0,938441,9/15/2023 0:00,
2,102,5,32300,0,2,0,938442,9/15/2023 0:00,
2,102,8,2200,0,2,zemy,1707,7/19/2017 0:00,
2,102,9,5000,0,0,zemy,1709,9/15/2023 0:00,OT Card
2,102,11,0,0,2,0,956964,9/15/2023 0:00,
2,102,13,0,0,2,0,956965,9/15/2023 0:00,
2,102,15,0,0,2,0,956966,9/15/2023 0:00,
2,102,17,0,0,2,0,956967,9/15/2023 0:00,
2,102,18,3000,0,2,zemy,1708,7/19/2017 0:00,
2,102,21,11555.02,0,2,0,61275,9/15/2023 0:00,
2,102,22,3553,0,2,0,394311,9/15/2023 0:00,
2,102,23,2261,0,2,0,394312,9/15/2023 0:00,
2,102,24,0,0,2,0,956968,9/15/2023 0:00,
2,102,25,0,0,2,0,956969,9/15/2023 0:00,
2,102,27,0,0,2,0,956970,9/15/2023 0:00,
2,102,33,0,0,2,0,956971,9/15/2023 0:00,
2,102,34,0,0,2,0,956972,9/15/2023 0:00,
2,102,35,0,0,2,0,956973,9/15/2023 0:00,
2,102,37,0,0,2,0,956974,9/15/2023 0:00,
2,102,39,0,0,2,0,956975,9/15/2023 0:00,
2,102,41,0,0,2,0,956976,9/15/2023 0:00,
2,102,44,0,0,2,0,956977,9/15/2023 0:00,
2,102,48,0,0,2,0,956978,9/15/2023 0:00,
2,102,50,0,0,2,0,956980,9/15/2023 0:00,
2,102,51,37300,0,2,0,938462,9/15/2023 0:00,
2,102,52,42500,0,2,0,938461,9/15/2023 0:00,
2,102,62,0,0,2,0,956979,9/15/2023 0:00,
2,102,99,28683.98,0,2,0,938459,9/15/2023 0:00,
2,103,1,18100,0,2,zemy,3,8/7/2023 0:00,
2,103,3,0,0,2,0,956981,9/15/2023 0:00,
2,103,4,30,0,2,0,938371,9/15/2023 0:00,
2,103,5,18100,0,2,0,938372,9/15/2023 0:00,
2,103,8,2200,0,2,zemy,1710,10/9/2017 0:00,
2,103,11,0,0,2,0,956982,9/15/2023 0:00,
2,103,13,0,0,2,0,956983,9/15/2023 0:00,
2,103,15,0,0,2,0,956984,9/15/2023 0:00,
2,103,17,0,0,2,0,956985,9/15/2023 0:00,
2,103,18,2200,0,2,zemy,108026,8/7/2023 0:00,
2,103,21,4835.02,0,2,0,61301,9/15/2023 0:00,
2,103,22,1991,0,2,0,471557,9/15/2023 0:00,
2,103,23,1267,0,2,0,471558,9/15/2023 0:00,
2,103,24,0,0,2,0,956986,9/15/2023 0:00,
2,103,25,0,0,2,0,956987,9/15/2023 0:00,
2,103,27,0,0,2,0,956988,9/15/2023 0:00,
2,103,33,0,0,2,0,956989,9/15/2023 0:00,
2,103,34,0,0,2,0,956990,9/15/2023 0:00,
2,103,35,0,0,2,0,956991,9/15/2023 0:00,
2,103,37,0,0,2,0,956992,9/15/2023 0:00,
2,103,39,0,0,2,0,956993,9/15/2023 0:00,
2,103,41,0,0,2,0,956994,9/15/2023 0:00,
2,103,44,0,0,2,0,956995,9/15/2023 0:00,
2,103,48,0,0,2,0,956996,9/15/2023 0:00,
2,103,50,0,0,2,0,956998,9/15/2023 0:00,
2,103,51,18100,0,2,0,938391,9/15/2023 0:00,
2,103,52,22500,0,2,0,938390,9/15/2023 0:00,
2,103,62,0,0,2,0,956997,9/15/2023 0:00,
2,103,99,16397.98,0,2,0,938388,9/15/2023 0:00,
2,104,1,9500,0,2,zemy,4,2/6/2020 0:00,
2,104,8,2000,0,2,zemy,1711,10/9/2017 0:00,
2,104,18,500,0,2,zemy,1712,10/9/2017 0:00,
2,104,21,1895.01,0,2,0,61327,1/5/2022 0:00,
2,104,22,1045,0,2,0,718200,1/5/2022 0:00,
2,104,23,665,0,2,0,718201,1/5/2022 0:00,
2,106,1,1800,0,2,sysadmin,6,1/1/2015 0:00,
2,106,3,0,0,2,0,956999,9/15/2023 0:00,
2,106,4,30,0,2,0,938481,9/15/2023 0:00,
